,AAPL,ACN,ADBE,ADI,ADP,ADS,ADSK,AKAM,AMAT,APH,ATVI,AVGO,CA,CRM,CSCO,CSRA,CTSH,CTXS,EA,EBAY,FB,FFIV,FIS,FISV,FLIR,FSLR,GLW,GOOG,GOOGL,GPN,HPE,HPQ,HRS,IBM,INTC,INTU,JNPR,KLAC,LRCX,MA,MCHP,MSFT,MSI,MU,NFLX,NTAP,NVDA,ORCL,PAYX,PYPL,QCOM,QRVO,RHT,STX,SWKS,SYMC,TDC,TEL,TSS,TXN,V,VRSN,WDC,WU,XLNX,XRX
161,96.489998,113.730003,95.93,56.509998,94.120003,199.289993,53.900002,55.5,24.5,56.68,40.639999,152.649994,33.369999,79.43,28.91,23.93,57.389999,64.843124,77.32,24.02,116.43,114.989998,75.059998,109.230003,31.690001,44.689999,20.57,699.5,710.5599980000002,72.459999,10.903444,13.05,83.220001,154.0,33.650002,115.0,22.15,72.410004,82.889999,88.43,50.869999,51.73,65.66999799999999,12.39,96.0,24.16,49.41,40.880001,61.07,36.779999,53.490002,54.84,72.050003,24.200001,61.669998,20.610001,25.67,56.68,53.060001,62.290001,75.300003,84.08000200000002,48.009998,19.17,46.130001,25.006588
162,96.75,115.699997,96.980003,57.990002,95.0,207.300003,55.619999,56.66,25.0,57.470001,41.439999,157.100006,33.799999,81.059998,29.34,23.969999,58.080002,66.849815,78.279999,24.74,117.709999,117.360001,76.300003,110.0,31.84,45.0,20.879999,708.049988,719.419983,73.809998,11.130116,13.17,84.32,154.600006,34.040001000000004,116.050003,22.709999,73.519997,85.470001,89.050003,52.599998,52.5,66.57,12.79,96.190002,24.700001,51.580002,40.900002,61.740002,37.450001,53.959999,56.939999,73.08000200000002,24.139999,63.599998,20.85,25.940001,57.830002,54.360001,63.5,76.809998,86.120003,49.5,19.66,46.970001,25.19104
163,97.169998,115.900002,97.25,58.68,95.580002,212.639999,55.91,56.740002,25.32,57.939999,42.41,158.580002,34.169998,81.949997,29.719999,24.5,57.990002,66.881668,79.279999,24.969999,118.629997,117.489998,76.360001,111.040001,32.25,46.860001,21.129999,719.119995,731.919983,75.269997,11.292853,13.47,84.910004,156.0,34.509998,116.449997,23.049999,74.800003,87.260002,89.08000200000002,52.68,52.939999,67.260002,13.0,95.07,25.01,52.599998,41.23,61.400002,38.470001,54.450001,58.209999,73.08000200000002,27.48,65.489998,20.799999,26.360001,58.560001,54.560001,63.77,76.68,85.58000200000002,51.68,19.709999,47.32,25.454546
164,97.410004,117.0,97.970001,59.27,95.290001,214.240005,57.57,56.700001,25.49,57.959999,42.790001,158.910004,34.439999,82.370003,29.719999,25.299999,58.689999,66.881668,79.93,25.120001,118.389999,117.620003,77.279999,110.800003,32.599998,47.25,21.450001,723.619995,735.52002,75.800003,11.443967,13.73,85.150002,157.75,35.040001000000004,116.959999,23.309999,75.540001,88.489998,90.459999,53.34,53.560001,67.66999799999999,13.24,96.260002,25.23,52.900002,41.560001,61.16,38.84,54.91,58.439999,74.0,29.35,66.440002,21.049999,27.24,59.369999,54.810001,64.540001,77.68,85.360001,51.919998,19.99,47.639999,25.6917
165,97.389999,117.5,98.0,60.0,95.75,211.039993,57.57,57.720001,26.08,58.490002,42.360001,159.550003,34.07,82.0,29.84,25.200001,59.07,67.622231,77.889999,25.450001,117.5,117.239998,77.540001,111.510002,32.34,46.669998,21.5,721.580017,733.9400019999998,76.230003,11.403282,13.89,86.0,158.809998,35.130001,116.519997,23.33,76.0,89.510002,91.32,53.799999,53.84,67.870003,13.5,97.0,25.67,53.060001,41.57,61.5,39.689999,55.189999,57.540001,74.379997,30.030001,66.309998,21.219999,27.459999,59.610001,55.09,65.0,78.059998,85.019997,52.849998,20.07,48.0,25.401844
166,98.919998,116.480003,98.389999,60.25,95.699997,213.300003,58.400002,57.700001,26.15,58.669998,41.959999,161.110001,34.25,81.860001,29.93,24.889999,57.52,67.908905,78.440002,26.200001,117.739998,116.5,77.150002,111.129997,32.240002000000004,47.59,21.450001,725.72998,741.0,76.870003,11.670638,13.89,85.83000200000002,159.899994,35.259998,116.580002,23.18,75.379997,88.190002,92.029999,53.709999,53.950001,67.790001,13.31,98.519997,25.42,52.639999,41.91,61.380001,40.02,54.860001,59.5,73.730003,29.4,67.720001,21.110001,27.049999,60.049999,55.049999,65.260002,78.650002,85.010002,52.040001,20.08,48.040001,25.586298
167,98.699997,115.18,97.739998,60.5,95.290001,211.449997,57.91,57.389999,26.530001,59.18,42.400002,162.419998,34.099998,81.510002,29.75,24.59,57.84,67.646126,78.129997,26.23,117.32,116.360001,76.639999,110.610001,32.189999,47.919998,21.389999,722.710022,737.909973,76.550003,11.461403,13.85,85.160004,159.300003,35.18,114.889999,23.139999,75.309998,89.620003,91.18,54.599998,53.700001,67.400002,13.25,98.43,25.08,53.349998,41.709999,60.790001,39.130001,55.139999,59.790001,72.709999,29.200001,68.18,21.07,27.16,59.84,54.790001,64.849998,78.349998,84.0,51.66,20.129999,48.470001,25.428194
168,99.559998,113.650002,97.110001,60.09,94.849998,211.25,57.869999,57.240002,26.5,58.889999,42.0,161.470001,34.189999,81.699997,29.91,25.0,57.849998,67.431122,77.989998,26.59,118.989998,115.870003,76.599998,109.769997,32.41,47.93,21.32,729.8900150000002,749.869995,76.309998,11.443967,13.93,84.82,161.779999,34.889999,115.07,23.09,75.699997,88.779999,91.209999,53.790001,53.709999,67.599998,13.22,85.43,25.379999,52.939999,41.299999,60.799999,38.970001,55.73,60.310001,72.83000200000002,30.35,68.33000200000001,20.790001,27.200001,59.639999,54.66,64.889999,77.75,83.0,52.139999,20.02,48.139999,25.480896
169,100.0,113.870003,98.160004,60.43,95.559998,215.0,57.849998,57.709999,26.57,58.599998,41.68,161.600006,34.130001,82.050003,30.040001,25.01,57.740002,67.916862,77.220001,26.610001,121.25,121.75,77.660004,110.480003,32.599998,47.93,21.389999,737.330017,754.049988,77.370003,11.5079,14.15,85.639999,159.970001,35.299999,112.779999,23.530001,76.0,90.0,92.559998,53.950001,56.150002,67.57,13.33,86.66999799999998,25.559999,53.700001,41.48,60.619999,39.439999,55.360001,60.720001,72.730003,30.030001,68.470001,20.76,27.35,59.029999,55.259998,65.32,78.75,83.279999,51.57,20.1,48.119999,25.401844
170,99.830002,115.07,98.120003,60.650002,95.099998,229.00999500000003,58.119999,57.889999,26.610001,59.169998,41.41,163.009995,34.23,82.449997,30.639999,25.030001,58.540001,68.434464,76.440002,28.870001,121.919998,121.889999,78.050003,110.870003,32.75,48.59,21.639999,740.3599849999998,757.0,77.790001,11.641578,14.13,86.019997,160.75,34.330002,114.480003,23.530001,76.470001,91.129997,93.0,54.150002,55.98,67.83000200000001,13.48,88.300003,25.82,54.099998,41.34,60.380001,40.330002,59.799999,61.23,73.379997,30.48,70.0,20.790001,28.25,61.709999,55.619999,65.389999,79.440002,84.160004,51.509998,20.15,47.990002,25.876152
171,99.260002,112.779999,96.709999,60.049999,95.510002,228.199997,57.830002,57.450001,26.389999,58.91,41.349998,159.589996,34.150002,81.989998,30.700001,25.209999,58.59,68.020386,75.879997,29.809999,119.900002,121.459999,77.690002,110.209999,32.91,48.43,21.459999,741.8599849999998,757.320007,77.599998,11.519524,14.01,85.940002,160.779999,34.380001,113.589996,23.51,75.720001,89.690002,92.660004,53.91,56.080002,67.510002,13.21,86.480003,26.09,53.41,41.119999,60.669998,37.299999,60.209999,59.400002,72.220001,31.379999,66.739998,20.370001,27.98,61.509998,55.09,65.129997,79.980003,82.949997,51.860001,20.129999,47.869999,25.797102
172,98.25,112.779999,97.75,60.490002,95.160004,231.190002,58.75,57.830002,26.440001,59.060001,41.959999,159.639999,34.380001,82.58000200000002,30.67,25.59,58.25,69.39003000000001,76.040001,30.309999,121.389999,122.25,78.050003,110.239998,32.400002,48.0,21.6,740.669983,757.679993,77.660004,11.827564,14.1,86.269997,162.0,34.619999,113.970001,23.719999,76.089996,90.059998,93.599998,53.68,56.470001,68.029999,14.0,85.730003,26.5,55.0,40.91,60.599998,37.700001,60.959999,60.77,73.459999,31.620001,64.989998,20.42,28.139999,61.290001,55.470001,65.5,80.16999799999998,83.410004,52.400002,20.24,48.389999,25.797102
173,96.82,113.400002,97.809998,61.150002,95.559998,230.649994,58.18,58.0,26.66,58.68,42.400002,161.410004,34.57,82.0,30.799999,25.959999,58.34,70.329674,76.91999799999998,30.559999,122.0,124.129997,80.0,110.5,32.18,48.139999,21.700001,739.039978,757.52002,78.129997,11.734571,14.16,85.41999799999998,162.649994,34.75,114.129997,24.110001,76.82,91.199997,92.779999,54.75,56.52,68.150002,14.0,91.029999,26.440001,56.169998,41.060001,60.740002,37.779999,61.0,61.130001,73.410004,31.280001,65.360001,20.370001,28.309999,61.439999,55.970001,70.650002,78.980003,84.379997,52.369999,20.23,48.650002,26.139658
174,104.269997,114.449997,97.589996,66.779999,95.660004,233.460007,58.75,51.23,26.879999,59.66,41.52,165.940002,34.619999,81.91999799999998,30.950001,26.639999,58.549999,68.29113000000001,77.220001,31.440001,122.419998,124.099998,81.0,110.809998,32.740002000000004,49.060001,20.969999,738.280029,758.969971,79.470001,11.914744,14.26,86.449997,162.119995,35.0,113.589996,23.690001,76.980003,92.199997,93.529999,57.540001,56.610001,68.449997,14.85,91.5,26.77,57.119999,41.029999,61.060001,37.639999,61.82,64.199997,75.269997,32.529999,68.139999,20.299999,28.629999,61.68,53.84,70.980003,78.459999,84.040001,54.32,20.389999,49.889999,26.192358
175,102.830002,113.93,97.919998,63.459999,93.0,233.5,59.490002,50.450001,26.82,58.970001,40.290001,165.0,34.150002,81.91999799999998,30.65,26.92,58.310001,70.21818499999999,76.610001,31.280001,127.519997,122.330002,80.68,109.839996,32.439999,48.59,21.49,747.039978,768.840027,77.949997,11.798504,13.95,85.790001,161.380005,34.830002,112.650002,22.459999,77.379997,92.940002,95.0,57.0,56.0,69.019997,14.13,91.919998,26.360001,56.189999,41.349998,59.68,37.400002,62.439999,63.0,73.959999,32.07,66.16999799999999,20.27,28.49,61.150002,51.400002,70.629997,78.690002,84.120003,53.299999,20.360001,50.0,26.29776
