,CTL,FTR,LVLT,T,VZ
290,25.309999,54.449974,58.490002,40.380001,52.619999
291,25.18,54.149975,58.34,40.57,52.43
292,25.24,52.949974,58.299999,40.919998,52.720001
293,25.26,53.249973,58.099998,41.0,52.549999
294,25.59,53.549999,58.950001,41.150002,52.52
295,25.57,52.799973,58.889999,40.889999,52.549999
296,25.629999,52.349976,59.07,41.330002,52.599998
297,25.559999,52.349976,58.959999,41.459999,52.459999
298,25.57,53.549973,59.139999,41.400002,50.259998
299,25.780001,52.499973,59.080002,41.330002,49.5
300,25.65,51.299973,59.119999,41.169998,48.75
301,26.059999,52.649975,59.759998,41.98,49.349998
302,26.01,52.649975,59.580002,41.939999,49.490002
303,25.93,52.049973,59.459999,41.68,49.209999
304,25.950001,51.599976,59.700001,42.279999,49.34
305,25.5,51.149975,59.02,42.02,48.540001
306,25.459999,50.549976,59.049999,41.48,48.450001
307,25.5,51.599976,58.900002,41.27,48.669998
308,25.110001,49.949974,58.389999,41.080002,48.130001
309,24.85,49.199974,58.130001,41.169998,48.150002
310,24.43,49.649975,57.509998,41.209999,48.369999
311,24.4,49.199974,57.580002,41.25,48.939999
312,24.540001,49.649975,57.75,40.82,48.27
313,24.66,49.199974,58.009998,40.470001,48.310001
314,24.48,50.099976,57.619999,40.66,48.0
315,24.450001,50.099976,57.490002,41.119999,48.029999
316,24.24,49.349976,57.200001,41.169998,48.310001
317,24.299999,49.499977,57.380001,41.369999,49.509998
318,24.74,49.949974,57.779999,41.68,49.5
319,24.889999,50.699974,58.130001,41.689999,49.98
320,24.629999,50.999973,57.709999,42.110001,50.279999
321,24.57,50.399975,57.669998,42.299999,50.490002
322,24.629999,46.199978,57.549999,41.73,49.959999
323,23.92,44.249977,57.509998,41.779999,49.560001
324,23.93,43.799976,57.66,41.900002,49.689999
325,23.629999,42.749977,56.970001,42.049999,49.98
326,23.379999,43.04998,56.700001,41.830002,50.029999
327,23.030001,40.199982,56.049999,41.900002,50.0
328,22.549999,39.29998,55.459999,41.880001,49.299999
329,22.4,37.349983,55.259998,41.860001,49.23
330,22.780001,39.29998,55.900002,42.029999,49.5
331,23.1,38.399982,56.470001,42.220001,49.330002
332,23.459999,37.79998,56.889999,42.380001,49.439999
333,23.34,36.29998,56.900002,42.139999,49.259998
334,23.790001,36.149982,57.740002,42.599998,50.02
335,23.51,37.949982,57.23,42.59,50.189999
336,23.68,36.749981,57.470001,42.610001,50.419998
337,23.700001,36.149982,57.599998,42.450001,50.48
338,23.299999,32.249984999999995,56.91,42.099998,50.130001
339,22.75,30.899984000000003,56.060001,41.630001,49.75
340,22.719999,28.949986,56.23,41.759998,49.700001
341,22.66,31.049984,55.880001,41.59,49.68
342,22.52,30.449986,55.689999,41.41,49.009998
343,22.780001,29.999985,55.869999,41.540001,49.279999
344,23.1,31.049984,56.5,41.389999,49.0
345,23.4,32.849983,56.959999,41.790001,49.099998
346,23.559999,32.549984,57.240002,41.599998,48.73
347,23.530001,30.899984000000003,57.23,41.57,49.099998
348,23.969999,32.249984999999995,57.880001,41.73,49.43
349,24.25,31.799984,58.099998,41.049999,48.52
350,24.51,31.499985,58.549999,40.599998,48.48
351,24.629999,30.899984000000003,58.630001,40.599998,48.720001
352,24.9,31.199984000000004,58.950001,40.380001,48.509998
353,24.85,30.749985,58.900002,40.209999,48.529999
354,25.110001,30.449986,59.470001,40.509998,48.799999
355,25.200001,29.549986,59.830002,40.299999,48.68
356,25.24,29.549986,59.720001,40.220001,48.619999
357,25.18,29.099985,59.73,40.32,49.439999
358,25.219999,28.199986,59.799999,39.990002,47.919998
359,25.379999,29.099985,60.099998,40.23,47.919998
360,25.5,29.399984000000003,60.5,40.099998,47.130001
361,25.540001,28.349985,60.150002,40.080002,46.959999
362,26.0,29.249985,61.0,40.02,46.75
363,25.860001,28.649986,61.0,40.369999,47.360001
364,25.77,28.649986,60.869999,39.880001,46.639999
365,25.74,28.199986,60.900002,39.68,46.060001
366,25.41,27.599987,60.5,39.139999,46.0
367,25.84,26.099987,61.310001,38.939999,46.02
368,24.75,24.449987,59.490002,38.41,46.18
369,23.780001,21.449989,57.950001,38.080002,46.080002
370,23.65,22.04999,57.700001,38.779999,46.720001
371,24.870001,21.899988,59.5,38.529999,46.52
372,24.860001,21.29999,59.610001,38.189999,46.400002
373,25.1,19.79999,59.950001,38.450001,46.310001
374,24.51,18.599991,58.919998,38.490002,46.119999
375,24.379999,18.299992,58.650002,38.52,45.91
376,24.91,19.64999,59.439999,38.68,45.34
377,24.77,20.24999,59.369999,38.189999,45.310001
378,24.51,20.099991,58.98,37.5,44.5
379,24.6,19.49999,59.119999,38.040001,45.16
380,24.91,22.499989000000006,59.580002,38.240002,45.389999
381,25.110001,22.349989,59.709999,38.259998,45.48
382,25.17,21.29999,59.919998,38.310001,45.450001
383,24.93,20.699989,59.599998,38.119999,45.049999
384,25.030001,20.24999,59.68,38.209999,45.25
385,24.790001,19.949989,59.360001,38.189999,45.259998
386,25.08,19.949989,59.799999,38.650002,46.43
