,AAL,ALK,ALLE,AME,ARNC,AYI,BA,CAT,CHRW,CMI,COL,CSX,CTAS,DAL,DE,DNB,DOV,EFX,EMR,ETN,EXPD,FAST,FBHS,FDX,FLR,FLS,FTV,GD,GE,GWW,HON,IR,ITW,JBHT,JCI,JEC,KSU,LLL,LMT,LUV,MAS,MMM,NLSN,NOC,NSC,PCAR,PH,PNR,PWR,R,RHI,ROK,ROP,RSG,RTN,SRCL,TDG,TXT,UAL,UNP,UPS,URI,UTX,VRSK,WM,XYL
51,39.0,70.050003,60.0,46.580002,16.596689,199.899994,119.639999,61.970001,64.050003,88.940002,80.760002,22.6,85.41999799999998,44.73,76.230003,97.760002,57.169998,105.050003,45.400002,50.040001,44.939999,42.200001,48.32,131.610001,44.52,38.049999,,132.300003,29.01,195.360001,101.658165,50.91,88.480003,72.050003,35.801048,38.790001,70.0,118.370003,209.259995,37.619999,26.23,149.330002,47.77,186.380005,70.160004,48.459999,96.050003,46.57,18.65,52.5,43.43,94.360001,157.339996,43.470001,127.050003,119.290001,223.479996,33.869999,47.709999,70.900002,92.040001,47.459999,87.059998,72.33000200000002,52.689999,35.639999
52,38.830002,69.989998,59.950001,46.09,15.787095,199.050003,119.690002,61.279999,64.379997,89.550003,80.480003,22.610001,85.589996,45.189999,75.599998,97.629997,57.150002,106.010002,45.0,49.610001,44.75,39.830002,47.639999,131.570007,43.639999,35.25,,132.679993,28.27,195.160004,101.260284,50.259998,89.300003,73.160004,35.35078400000001,38.130001,71.410004,116.650002,209.5,38.02,25.940001,147.589996,47.560001,186.929993,69.129997,47.84,95.389999,45.470001,18.51,53.889999,42.689999,93.120003,161.899994,43.48,124.57,119.510002,226.330002,32.700001,48.27,73.260002,95.110001,47.709999,86.16999799999998,71.150002,52.700001,35.080002
53,37.380001,68.300003,59.389999,45.98,15.877049,198.25,118.800003,61.470001,65.209999,89.199997,79.699997,22.34,86.519997,43.970001,75.0,95.330002,57.459999,104.489998,46.200001,51.950001,44.709999,39.5,46.860001,130.889999,44.740002,37.48,,134.089996,28.389999,195.229996,100.91214,49.029999,89.760002,72.029999,35.633507,38.84,70.739998,117.82,212.0,36.849998,25.360001,149.360001,47.360001,188.610001,66.879997,47.77,96.419998,45.23,18.5,51.650002,42.009998,93.790001,160.809998,43.869999,126.050003,118.139999,221.899994,32.099998,46.630001,71.989998,95.230003,46.48,85.989998,70.839996,52.470001,35.299999
54,37.34,67.110001,59.32,45.849998,17.181396,193.300003,121.120003,63.599998,65.68,91.18,78.82,22.35,84.849998,43.779999,75.07,95.739998,58.25,103.120003,46.32,52.470001,44.369999,41.5,44.459999,130.690002,43.57,38.490002,,133.759995,28.65,201.369995,101.150864,49.779999,89.57,72.269997,35.591621,37.220001,71.32,117.57,212.5,36.439999,25.139999,152.419998,46.68,188.800003,67.519997,47.919998,97.690002,45.52,18.610001,52.049999,39.18,95.309998,162.03999299999995,43.91,127.540001,117.419998,222.679993,32.299999,47.18,72.019997,95.330002,48.09,86.089996,68.949997,52.919998,36.060001
55,37.709999,68.480003,59.830002,43.939999,18.305834,194.910004,123.629997,65.66999799999999,66.959999,96.080002,80.410004,23.040001,85.0,44.139999,78.400002,96.849998,59.459999,103.269997,46.639999,53.970001,45.790001,43.290001,46.599998,133.25,44.509998,40.099998,,135.21000700000002,29.15,208.0,102.115723,51.299999,91.0,74.639999,36.272251,37.259998,75.529999,117.540001,210.339996,37.27,25.34,153.199997,46.490002,186.720001,69.129997,50.0,100.919998,46.560001,18.73,56.700001,39.259998,98.629997,165.820007,44.130001,126.43,111.690002,227.089996,32.18,48.41,75.209999,95.870003,47.759998,88.040001,68.690002,52.93,37.060001
56,36.080002,63.360001,55.380001,44.330002,17.383795000000006,181.289993,120.669998,65.41999799999999,67.68,97.910004,80.43,22.639999,82.800003,41.310001,77.599998,92.589996,59.150002,99.120003,46.450001,54.0,45.240002,42.919998,44.77,130.279999,44.189999,40.130001,,132.320007,28.219999,206.839996,100.464523,50.23,89.33000200000002,74.370003,36.32460800000001,36.48,74.620003,116.139999,209.330002,35.130001,23.92,151.630005,45.139999,184.740005,69.349998,49.689999,100.089996,45.73,18.280001,56.459999,39.139999,97.620003,161.75,43.27,125.900002,109.639999,217.970001,31.84,45.900002,74.480003,94.389999,47.139999,87.339996,67.370003,52.23,36.220001
57,34.93,62.220001,53.330002,44.369999,17.361307,175.369995,117.980003,63.900002,68.779999,98.410004,80.339996,22.559999,81.989998,40.349998,75.900002,86.629997,58.889999,92.650002,46.5,53.759998,45.759998,43.25,44.630001,129.25,42.389999,39.610001,,130.470001,27.75,207.990005,99.708557,50.490002,89.480003,74.529999,36.083771,35.349998,76.489998,115.790001,213.119995,34.380001,24.620001,152.949997,44.169998,184.169998,69.699997,49.220001,99.849998,45.0,17.43,55.0,38.610001,96.010002,160.600006,43.07,124.980003,105.110001,197.0,31.9,44.970001,75.099998,96.349998,45.509998,86.260002,65.68,52.23,35.970001
58,36.57,66.839996,54.810001,45.610001,17.766117,180.740005,118.160004,64.269997,69.790001,100.580002,80.82,24.02,83.849998,42.630001,78.57,89.349998,58.259998,93.940002,46.43,54.599998,46.060001,43.77,45.900002,130.649994,43.169998,39.439999,,132.529999,28.370001,211.050003,102.593361,49.91,90.629997,75.389999,36.335079,35.669998,79.029999,118.540001,216.00999500000003,35.669998,25.68,154.429993,45.400002,187.740005,72.16999799999998,49.77,99.620003,44.84,17.549999,56.0,38.23,97.580002,161.220001,43.880001,126.370003,106.800003,189.179993,32.060001,47.41,78.019997,97.540001,45.16,87.360001,68.190002,53.490002,36.84
59,36.470001,65.860001,56.189999,44.639999,16.551723000000006,179.490005,113.18,60.91,68.0,95.050003,78.190002,23.65,82.0,42.619999,75.970001,88.559998,55.919998,93.959999,44.849998,52.59,44.43,42.110001,45.41,125.540001,41.509998,38.400002,,130.589996,27.75,200.550003,99.877831,48.630001,88.93,72.66999799999998,35.204189,34.91,76.849998,115.889999,211.669998,34.970001,25.059999,149.910004,45.5,185.119995,71.730003,47.869999,94.540001,42.189999,17.1,54.16,36.860001,92.93,157.600006,43.560001,124.169998,106.160004,188.440002,31.719999,46.540001,75.730003,94.599998,43.959999,85.389999,65.540001,52.57,35.900002
60,36.919998,67.839996,58.09,45.709999,16.934020999999998,176.949997,105.120003,61.990002,69.120003,96.449997,78.900002,23.27,83.120003,43.0,77.309998,91.209999,57.970001,95.300003,45.470001,53.91,45.23,42.560001,45.82,125.550003,41.900002,40.360001,,129.639999,27.57,206.229996,102.13562,49.630001,90.440002,73.839996,35.109947,35.369999,78.779999,115.190002,208.309998,35.799999,25.32,150.669998,47.330002,184.559998,71.66999799999998,48.830002,97.889999,43.720001,17.51,52.98,37.130001,95.25,160.669998,44.0,122.730003,107.839996,192.539993,31.32,47.290001,77.33000200000002,96.25,44.32,84.989998,67.199997,53.240002,36.66
