,APA,APC,CHK,COG,COP,CVX,CXO,DVN,EOG,EQT,FTI,HAL,HES,HP,KMI,MPC,MRO,MUR,NBL,NFX,NOV,OKE,OXY,PSX,PXD,RIG,RRC,SLB,SWN,VLO,WMB,XEC,XOM
77,47.25,42.009998,4.56,21.860001,39.349998,89.699997,97.629997,22.07,71.589996,59.240002,24.639999,35.07,47.68,62.02,18.08,35.86000100000001,10.51,23.6,31.35,29.690001,31.370001,26.719999,67.230003,85.519997,127.760002,11.55,30.68,73.75,7.66,63.630001,17.68,93.32,83.220001
78,45.900002,41.799999,4.62,20.68,38.869999,92.790001,96.160004,22.68,71.160004,58.110001,25.120001,34.599998,47.150002,61.82,18.1,36.830002,10.31,22.700001,31.780001,30.57,31.200001,26.25,68.269997,86.07,127.269997,10.93,28.93,72.800003,7.01,64.870003,17.25,91.849998,82.41999799999998
79,47.380001,44.349998,4.88,22.41,39.799999,94.949997,98.610001,23.370001,73.139999,60.77,26.110001,35.110001000000004,49.32,62.389999,18.049999,36.950001,11.14,23.700001,32.75,31.32,32.169998,27.780001,69.66999799999999,86.25,131.5,11.19,30.620001,73.900002,7.37,64.339996,16.41,93.650002,83.220001
80,47.720001,45.25,4.42,21.57,39.700001,93.57,99.690002,24.02,73.709999,60.18,27.040001,35.54000100000001,50.0,61.959999,18.379999,37.150002,10.86,23.139999,32.790001000000004,31.209999,32.880001,27.85,69.129997,85.66999799999998,135.509995,10.83,30.110001,73.970001,7.64,65.08000200000001,15.92,92.580002,81.480003
81,47.029999,45.59,4.2,21.870001,39.209999,93.150002,99.989998,24.299999,73.82,59.900002,26.77,35.029999,48.82,60.049999,18.530001,36.380001,10.85,23.299999,32.57,31.530001,32.950001,27.6,68.059998,85.0,133.899994,11.1,30.209999,72.480003,7.38,63.709999,16.139999,92.510002,81.599998
82,48.509998,47.32,4.3,22.6,40.240002,94.720001,103.519997,24.360001,74.370003,62.759998,26.870001,35.380001,50.650002,62.43,18.219999,36.669998,11.59,23.67,32.75,32.139999,33.330002,27.940001,68.739998,86.629997,136.71000700000002,11.06,32.049999,73.68,7.32,64.800003,16.200001,96.0,83.019997
83,49.950001,49.509998,4.62,23.25,42.400002,96.25,106.32,27.030001,75.660004,65.529999,27.360001,35.779999,52.290001,62.75,19.040001,38.369999,11.72,24.860001,34.27,33.900002,33.419998,29.700001,70.33000200000001,88.010002,139.309998,11.3,33.919998,74.110001,8.18,65.699997,17.780001000000006,98.599998,83.68
84,51.27,49.689999,5.08,22.889999,43.59,97.849998,106.199997,27.93,77.5,65.18,27.799999,36.68,54.5,63.52,19.200001,37.880001,11.72,25.280001,34.48,34.259998,34.32,30.559999,71.239998,88.800003,143.509995,11.56,34.419998,75.010002,8.2,63.849998,18.120001,99.300003,84.589996
85,49.139999,48.830002,4.93,22.639999,42.73,97.019997,104.510002,27.290001,75.019997,65.230003,27.299999,35.970001,53.400002,60.41,18.709999,38.060001,11.47,25.309999,34.200001,33.57,32.220001,30.780001,70.889999,89.150002,142.089996,10.55,33.099998,72.370003,7.94,65.43,17.99,98.360001,83.839996
86,49.060001,48.049999,4.78,21.799999,42.25,95.75,103.440002,27.57,75.389999,62.91,27.4,36.009998,53.66,59.950001,18.209999,38.02,11.26,25.200001,33.810001,33.209999,32.380001,29.23,70.029999,89.620003,141.339996,9.94,32.43,74.050003,7.76,65.599998,17.17,95.739998,83.08000200000002
