,AIV,AMT,AVB,BXP,CBG,CCI,DLR,EQIX,EQR,ESS,EXR,FRT,GGP,HCN,HCP,HST,IRM,KIM,MAA,MAC,O,PLD,PSA,REG,SLG,SPG,UDR,VNO,VTR,WY
186,44.869999,115.919998,181.460007,142.470001,29.719999,96.330002,102.239998,366.619995,66.400002,228.690002,83.300003,159.740005,29.629999,77.970001,35.173041999999995,17.85,37.040001,30.42,101.349998,84.25,68.470001,54.009998,230.850006,81.18,118.739998,214.850006,36.799999,84.923203,74.099998,32.139999
187,45.099998,116.620003,181.339996,143.259995,29.809999,96.599998,103.129997,368.76001,66.440002,229.27999900000003,83.809998,160.399994,30.07,78.459999,35.637524,18.040001,37.16,30.5,98.470001,84.480003,68.769997,54.369999,230.419998,80.459999,118.410004,214.350006,36.82,85.311234,74.489998,31.91
188,45.299999,115.199997,181.119995,142.899994,29.49,95.839996,101.43,370.329987,66.220001,230.589996,83.139999,159.28999299999995,29.940001,77.550003,35.79235100000001,18.1,37.060001,30.379999,96.75,84.459999,67.699997,53.98,228.210007,79.989998,118.559998,213.830002,36.720001,84.502831,73.650002,31.860001
189,44.380001,114.410004,179.229996,142.309998,29.389999,95.029999,101.0,367.880005,66.110001,230.289993,82.440002,157.509995,29.66,76.849998,35.801456,18.17,37.029999,29.57,94.470001,82.5,67.089996,53.810001,228.119995,79.360001,118.580002,211.570007,36.599998,83.62975300000002,73.199997,31.540001
190,44.220001,114.519997,178.28999299999995,142.949997,29.08,94.559998,101.959999,366.589996,66.059998,227.399994,82.720001,159.009995,29.76,77.0,35.965393,17.91,36.869999,29.91,95.050003,83.16999799999998,67.699997,52.689999,227.889999,79.91999799999998,118.339996,213.490005,36.310001,83.62975300000002,73.970001,31.73
191,44.099998,114.18,176.619995,141.679993,28.75,94.150002,101.18,363.519989,65.379997,226.740005,81.860001,158.179993,29.610001,76.639999,36.174862,18.01,37.459999,29.83,94.919998,82.800003,67.690002,53.389999,225.960007,79.599998,117.370003,213.539993,36.259998,83.354889,73.860001,31.25
192,43.759998,113.639999,176.490005,141.470001,28.459999,93.5,101.410004,367.209991,65.5,225.100006,80.839996,157.580002,29.290001,76.459999,35.95628400000001,18.190001,37.689999,29.67,94.580002,80.959999,66.970001,53.41,224.869995,79.489998,115.489998,212.350006,36.130001,82.384804,73.529999,31.120001
193,44.27,115.209999,176.429993,142.419998,29.18,93.879997,101.239998,369.029999,65.68,224.580002,81.5,158.520004,29.389999,76.980003,36.092896,18.49,38.07,30.0,94.589996,82.660004,67.599998,53.849998,227.520004,80.610001,116.809998,213.369995,36.369999,83.023445,73.860001,31.48
194,44.189999,115.230003,175.139999,141.619995,29.41,93.830002,99.720001,367.630005,64.739998,224.449997,81.18,157.820007,29.200001,76.910004,36.238617,18.34,38.02,29.690001,94.360001,82.110001,67.349998,53.830002,226.490005,79.800003,115.959999,212.270004,36.02,82.756668,73.980003,31.5
195,44.060001,114.610001,174.610001,140.46000700000002,29.379999,94.879997,98.730003,364.600006,64.769997,223.52999900000003,80.629997,158.059998,29.110001,76.379997,35.938068,18.190001,38.02,29.75,93.260002,82.290001,66.800003,53.18,224.440002,79.889999,115.639999,214.389999,35.810001,82.62732700000002,73.279999,31.08
196,44.919998,114.440002,175.669998,140.850006,29.43,94.610001,98.82,364.429993,65.650002,225.77999900000003,80.959999,159.919998,29.370001,77.139999,36.129326,18.27,38.43,29.959999,94.419998,82.809998,66.91999799999999,53.470001,225.820007,80.550003,115.93,216.160004,36.18,82.772835,73.889999,31.639999
197,44.5,113.739998,174.240005,139.46000700000002,29.690001,93.559998,99.75,365.920013,64.639999,222.710007,80.089996,160.149994,29.15,76.089996,35.282333,18.040001,38.330002,29.65,94.230003,82.190002,66.0,52.709999,224.589996,79.989998,114.629997,213.75999500000003,35.99000200000001,81.907845,72.459999,31.4
198,45.099998,113.900002,175.839996,140.690002,29.77,93.849998,100.760002,368.190002,65.0,225.669998,80.449997,160.919998,29.48,77.110001,35.728596,18.07,38.450001,30.049999,94.410004,82.709999,66.059998,53.139999,225.940002,80.489998,115.699997,216.039993,36.23,83.12854,73.519997,31.66
