,AFL,AIG,AIZ,AJG,ALL,AMG,AMP,AON,AXP,BAC,BBT,BEN,BK,BLK,C,CB,CBOE,CFG,CINF,CMA,CME,COF,DFS,ETFC,FITB,GS,HBAN,HIG,HRB,ICE,IVZ,JPM,KEY,L,LNC,LUK,MCO,MET,MMC,MS,MTB,NAVI,NDAQ,NTRS,PBCT,PFG,PGR,PNC,PRU,RF,SCHW,SPGI,STI,STT,SYF,TMK,TROW,TRV,UNM,USB,WFC,WLTW,XL,ZION
162,72.5,53.27,86.83000200000002,48.900002,69.660004,140.300003,91.730003,109.980003,61.950001,13.29,35.310001,34.029999,38.82,348.040009,42.389999,129.580002,68.08000200000001,20.030001,76.220001,41.810001,99.470001,65.18,55.310001,23.799999,17.41,151.490005,8.83,43.720001,23.639999,51.389999,25.940001,62.419998,11.24,41.0,39.299999,17.549999,97.120003,35.365417,67.589996,26.690001,116.769997,12.82,66.230003,65.440002,14.97,41.950001,33.73,81.230003,71.760002,8.54,25.99,109.639999,41.799999,53.84,27.5,61.669998,73.559998,118.32,31.219999,40.400002,48.099998,125.099998,32.080002,25.0
163,73.040001,53.669998,87.33000200000002,49.220001,70.25,141.889999,93.050003,111.120003,62.630001,13.41,35.759998,34.380001,39.049999,350.01001,42.82,130.800003,68.050003,20.450001,76.529999,42.290001,100.0,67.029999,56.099998,24.09,17.690001000000006,154.0,9.0,44.209999,23.700001,51.91,26.4,63.029999,11.4,41.0,40.360001,17.65,98.199997,35.96256599999999,67.610001,26.82,117.110001,13.3,66.699997,65.790001,15.18,42.689999,33.580002,81.949997,73.0,8.68,26.35,111.480003,42.400002,54.23,28.0,62.080002,74.040001,118.400002,31.799999,40.560001,48.419998,125.889999,33.139999,25.35
164,73.360001,54.02,87.730003,49.060001,69.709999,143.570007,94.519997,110.800003,62.98,13.5,35.970001,34.880001,39.310001,357.579987,43.330002,130.130005,68.349998,20.370001,76.190002,42.75,99.790001,67.739998,56.599998,24.719999,17.91,157.0,9.11,43.810001,23.65,52.41,26.860001,63.080002,11.53,41.27,41.139999,17.620001000000006,100.0,35.828876,67.480003,27.450001,118.199997,13.73,67.639999,66.120003,15.27,43.099998,33.279999,82.260002,73.290001,8.8,26.65,113.690002,42.580002,54.830002,27.950001,61.880001,74.650002,118.339996,31.950001,40.75,48.310001,127.610001,33.119999,25.52
165,74.0,54.43,88.910004,49.130001,69.620003,146.800003,96.209999,111.440002,63.66,13.73,36.630001,35.24000200000001,40.669998,354.5,44.380001,130.779999,68.75,21.0,77.300003,43.68,100.699997,69.309998,57.34,25.18,18.34,160.28999299999995,9.24,44.16,23.83,52.400002,27.48,64.739998,11.83,41.82,42.169998,18.02,102.760002,37.754009,67.57,27.799999,120.160004,13.86,67.639999,67.190002,15.4,44.150002,33.639999,83.410004,74.900002,9.06,27.120001,115.0,43.889999,55.939999,28.59,62.799999,74.889999,119.0,32.709999,41.380001,49.049999,127.620003,33.529999,26.110001
166,73.93,54.619999,87.730003,48.950001,69.459999,145.229996,96.660004,110.790001,63.950001,13.78,36.959999,34.68,40.09,355.940002,44.450001,130.559998,68.360001,21.139999,76.910004,44.009998,101.669998,69.089996,57.669998,25.120001,18.59,162.860001,9.31,43.959999,23.93,52.698002,27.35,64.75,11.86,41.630001,43.029999,17.969998999999994,103.379997,37.959003,67.139999,28.25,119.75,13.81,67.599998,67.32,15.52,44.380001,33.560001,85.029999,75.57,9.13,27.219999,115.800003,43.990002,56.57,28.32,62.830002,74.480003,119.139999,32.470001,42.400002,48.849998,126.400002,32.689999,26.25
167,73.370003,54.330002,87.83000200000002,48.91,69.589996,145.580002,96.160004,110.959999,63.959999,13.84,36.68,34.84,39.860001,357.559998,44.279999,129.490005,68.709999,20.940001,75.75,43.529999,101.669998,68.449997,57.400002,25.030001,18.450001,162.360001,9.27,43.830002,24.23,52.63600200000001,27.549999,64.129997,11.69,41.380001,42.48,17.83,103.400002,37.932262,66.68,28.059999,119.019997,13.82,68.660004,67.150002,15.44,44.16,33.0,81.66999799999998,74.879997,9.12,27.6,116.0,43.369999,56.91,28.5,62.400002,74.66999799999998,118.489998,32.290001000000004,41.73,47.810001,124.830002,32.32,26.0
168,73.050003,54.279999,87.019997,48.509998,69.059998,145.139999,96.099998,110.019997,63.689999,14.06,36.43,34.759998,39.720001,355.459991,44.189999,129.020004,68.349998,20.77,75.239998,44.299999,100.989998,67.970001,56.709999,24.68,18.379999,162.020004,9.29,43.450001,23.77,52.296001,27.41,63.610001,11.67,40.990002,42.779999,17.860001,103.440002,38.199642,66.339996,27.950001,117.940002,13.86,67.18,67.370003,15.31,43.880001,32.75,81.790001,74.779999,9.0,27.1,116.129997,43.029999,57.02,28.25,62.150002,74.41999799999998,116.93,32.189999,41.709999,48.080002,123.199997,32.029999,25.790001
169,73.650002,54.580002,87.900002,48.799999,69.269997,146.910004,96.82,110.0,64.290001,14.35,36.84,34.869999,40.0,358.660004,44.529999,129.339996,68.620003,21.059999,75.209999,45.360001,102.629997,68.040001,56.139999,25.17,18.459999,162.550003,9.27,43.849998,23.969999,53.0,27.84,64.110001,11.77,41.259998,43.509998,17.969998999999994,104.0,38.547237,66.629997,29.139999,118.470001,14.0,68.160004,67.75,15.47,44.5,32.889999,82.860001,75.610001,8.93,27.67,117.400002,43.450001,57.59,28.49,62.529999,73.730003,117.449997,32.310001,42.099998,48.59,124.510002,32.450001,25.940001
170,73.510002,54.5,87.449997,48.700001,69.07,146.089996,96.5,109.839996,63.799999,14.43,36.869999,35.040001000000004,39.450001,359.2799990000001,44.5,128.339996,67.82,22.26,74.599998,45.279999,101.440002,67.440002,56.299999,25.42,18.34,161.71000700000005,9.17,43.759998,24.08,52.375999,28.0,64.0,11.78,41.080002,43.549999,18.059999,103.919998,38.556149,66.339996,28.719999,113.360001,14.22,67.540001,67.040001,15.3,44.470001,32.669998,82.779999,75.730003,8.95,27.98,116.849998,43.150002,57.720001,28.059999,62.34,74.220001,116.389999,32.43,41.970001,48.650002,123.68,32.68,26.040001
171,73.470001,54.41,87.519997,48.639999,69.07,146.229996,96.489998,109.739998,63.400002,14.26,36.529999,35.040001000000004,38.639999,360.399994,44.099998,127.940002,67.75,21.75,74.260002,45.16,101.300003,66.5,56.23,25.75,18.32,160.28999299999995,9.1,43.560001,23.68,52.726002,28.110001,63.900002,11.72,41.169998,43.450001,18.07,103.970001,38.636364,66.190002,28.77,113.089996,14.32,67.32,67.019997,15.24,44.41,32.740002000000004,82.589996,75.75,8.94,28.0,116.919998,42.25,57.43,28.610001,62.200001,74.16999799999998,116.720001,32.32,41.98,48.32,123.220001,32.68,26.15
