,AEE,AEP,AES,AWK,CMS,CNP,D,DTE,DUK,ED,EIX,ES,ETR,EXC,FE,LNT,NEE,NI,NRG,PCG,PEG,PNW,PPL,SCG,SO,SRE,WEC,XEL
313,52.91,63.639999,11.65,72.91999799999998,42.990002,26.32,73.589996,97.589996,78.559998,74.139999,75.57,56.34,71.68,35.439999,30.540001,37.889999,125.019997,22.440001,16.629998999999998,63.549999,43.630001,78.610001,35.630001,68.190002,49.009998,104.760002,57.790001,42.02
314,52.139999,62.93,11.38,72.470001,42.41,25.860001,72.550003,97.470001,76.790001,73.209999,74.83000200000002,55.599998,70.959999,35.049999,30.129999,37.23,125.050003,22.07,16.74,62.849998,43.049999,77.519997,35.23,66.150002,48.349998,103.339996,56.91,41.5
315,52.009998,63.389999,11.62,73.120003,42.779999,26.040001,72.529999,97.959999,77.16999799999998,73.68,75.129997,55.740002,70.870003,35.220001,30.379999,37.549999,125.5,22.25,17.49,63.75,43.240002,78.0,35.380001,67.010002,47.849998,104.550003,57.130001,41.669998
316,53.099998,63.799999,11.64,73.440002,43.16,26.41,73.269997,98.769997,78.699997,74.08000200000002,75.82,56.299999,73.0,35.459999,30.66,37.970001,126.690002,22.709999,17.110001,63.619999,43.689999,78.699997,35.75,67.410004,48.290001,105.910004,57.619999,41.93
317,53.220001,63.98,11.46,73.809998,43.23,26.469999,73.650002,98.129997,78.300003,73.5,76.040001,56.02,73.300003,35.389999,30.92,37.900002,126.419998,22.65,16.790001,63.919998,43.490002,78.370003,35.61000100000001,65.58000200000001,47.740002,105.620003,57.400002,41.950001
318,53.830002,64.66999799999999,11.78,75.0,43.599998,26.6,74.75,98.790001,79.209999,74.519997,77.5,56.259998,73.75,35.849998,30.809999,38.400002,127.980003,23.040001,17.049999,64.699997,44.389999,79.650002,36.060001,67.0,48.259998,106.629997,57.98,42.330002
319,54.23,65.550003,11.69,75.010002,43.950001,26.68,75.620003,99.400002,79.980003,75.290001,77.57,57.860001,74.059998,35.830002,30.969999,38.84,128.75,23.299999,17.01,64.989998,44.48,80.0,36.349998,68.150002,49.0,107.629997,58.599998,42.709999
320,54.139999,66.190002,11.77,75.709999,44.389999,26.860001,76.449997,100.57,81.199997,76.25,78.129997,58.200001,75.540001,36.150002,31.559999,39.59,128.850006,23.77,17.190001000000002,65.699997,44.470001,80.800003,36.59,69.279999,49.799999,108.370003,59.529999,43.34
321,54.549999,67.059998,11.71,76.220001,44.669998,26.99,76.889999,100.93,81.93,76.610001,78.93,58.98,75.790001,37.09,32.349998,39.459999,131.070007,23.98,17.41,66.349998,45.41,81.449997,36.830002,68.93,50.450001,109.089996,59.380001,43.389999
322,54.16,66.699997,11.26,76.489998,44.139999,25.91,76.66999799999998,100.860001,81.589996,76.290001,79.029999,58.349998,75.379997,36.470001,31.809999,39.060001,129.96000700000002,23.74,16.43,66.239998,45.5,81.129997,36.57,68.629997,50.139999,109.110001,59.310001,43.220001
