,ALB,APD,AVY,BLL,CF,ECL,EMN,FCX,FMC,IFF,IP,LYB,MLM,MON,MOS,NEM,NUE,PPG,PX,SEE,SHW,VMC,WRK
143,79.360001,134.995377,76.68,36.544998,29.43,119.830002,72.260002,10.25,49.5,128.490005,42.919998,79.660004,184.080002,108.480003,27.219999,36.830002,50.73,108.940002,113.459999,47.900002,291.690002,115.050003,38.619999
144,78.0,133.172989,75.339996,35.494999,28.58,119.0,72.16999799999998,10.3,48.150002,126.550003,41.779999,79.0,182.75,106.93,26.85,36.029999,50.099998,107.309998,112.400002,47.200001,290.369995,114.010002,37.82
145,78.58000200000002,133.91304,75.970001,36.0,27.82,119.669998,71.620003,10.64,48.450001,128.089996,42.0,79.040001,182.580002,107.459999,26.4,35.209999,50.150002,107.300003,112.57,47.16,293.299988,114.480003,38.139999
146,79.309998,132.423676,75.459999,35.544998,27.4,118.330002,70.839996,10.81,48.139999,125.82,41.369999,78.32,182.770004,107.279999,26.07,37.330002,50.099998,105.620003,111.220001,46.799999,290.380005,112.849998,38.220001
147,83.190002,133.691025,75.790001,35.939999,27.65,118.970001,71.779999,11.03,49.200001,125.949997,41.720001,79.18,182.820007,108.559998,25.93,36.110001,50.810001,107.0,112.25,47.209999,289.929993,113.860001,38.75
148,83.510002,133.950043,76.0,36.174999,28.540001,119.410004,72.32,11.47,48.959999,126.209999,42.450001,80.879997,184.5,109.400002,27.07,34.689999,51.150002,109.279999,113.349998,47.52,291.209991,115.68,40.5
149,82.949997,133.450516,76.480003,36.005001,27.870001,119.330002,72.209999,11.48,48.619999,127.589996,42.849998,79.860001,184.259995,108.940002,26.860001,34.580002,51.259998,108.650002,112.93,47.220001,290.619995,115.370003,40.689999
150,83.620003,132.849213,76.370003,36.165001,27.5,119.769997,72.239998,11.81,48.48,127.540001,42.529999,79.57,183.929993,107.650002,27.190001,34.759998,50.34,108.400002,112.239998,47.209999,287.5,116.239998,41.139999
151,83.949997,134.20906100000002,77.190002,36.685001,27.190001,120.790001,72.339996,11.72,49.220001,127.489998,43.02,78.629997,185.729996,108.169998,27.57,35.41,50.290001,109.699997,114.199997,47.869999,292.73999,117.0,41.189999
152,81.269997,130.453278,74.650002,35.259998,26.540001,117.860001,69.699997,11.02,47.52,123.739998,41.52,77.389999,182.300003,105.830002,26.93,38.5,48.709999,108.089996,112.139999,46.009998,282.220001,114.470001,39.32
153,77.440002,128.538391,72.959999,34.305,24.940001,115.169998,67.370003,10.56,44.689999,121.110001,41.0,73.769997,185.940002,102.860001,26.43,37.689999,47.41,101.410004,108.949997,45.099998,281.51001,117.309998,38.07
154,76.809998,125.892693,71.639999,34.384998,23.860001,115.489998,66.690002,10.62,42.950001,120.0,40.0,72.790001,181.490005,101.550003,25.27,36.919998,46.68,99.949997,108.0,43.860001,282.690002,114.900002,36.34
155,79.459999,126.540237,72.91999799999998,35.650002,24.469999,116.0,67.470001,10.87,44.439999,122.410004,40.830002,73.75,183.259995,104.209999,25.58,37.650002,47.919998,101.940002,109.970001,44.630001,292.329987,116.589996,37.98
156,79.129997,129.121185,73.110001,35.595001,24.360001,116.839996,67.599998,10.85,45.509998,124.5,41.310001,74.510002,186.059998,102.790001,25.709999,38.23,48.259998,102.57,111.0,45.209999,291.450012,118.949997,38.07
157,79.449997,130.999069,72.529999,36.314999,23.92,118.870003,68.029999,11.04,46.209999,126.470001,42.700001,74.599998,191.710007,103.919998,26.030001,39.860001,49.34,104.150002,112.519997,45.799999,294.220001,120.57,38.849998
158,80.08000200000002,129.528214,72.16999799999998,35.619999,24.09,118.449997,67.720001,11.1,45.740002,125.669998,42.299999,73.879997,188.570007,101.32,26.24,40.98,49.709999,103.919998,112.400002,45.900002,292.399994,118.860001,38.849998
159,79.389999,128.011108,71.120003,35.044998,23.32,117.239998,65.32,10.45,44.459999,125.449997,41.689999,72.709999,186.449997,99.839996,25.440001,41.02,49.23,102.199997,113.5,45.060001,292.809998,119.0,36.990002
160,81.18,129.380203,71.970001,35.43,23.91,117.949997,66.410004,11.07,44.450001,126.959999,41.950001,73.639999,195.029999,100.150002,25.43,40.790001,51.040001,103.279999,112.150002,45.900002,299.519989,122.25,37.610001
161,82.199997,130.407028,72.910004,35.84,24.15,118.709999,67.91999799999999,10.93,45.43,128.529999,42.27,75.459999,197.350006,101.0,25.389999,40.720001,52.0,104.18,112.360001,46.349998,304.179993,123.029999,37.75
